# Energy	Flux
# keV	photon/(cm**2*s*keV)
2.460249999999999937e-01	1.694454545454560787e-05
2.470149999999999846e-01	1.230070707070718468e-05
2.480050000000000032e-01	6.209474747474804732e-06
2.489949999999999941e-01	7.896363636363708453e-06
2.499849999999999850e-01	7.968757575757648729e-06
2.509750000000000036e-01	2.507060606060629147e-05
2.519649999999999945e-01	7.360252525252592630e-05
2.529550000000000409e-01	8.312616161616237124e-06
2.539449999999999763e-01	2.745616161616186917e-05
2.549350000000000227e-01	1.195161616161627123e-05
2.559249999999999581e-01	7.124121212121277733e-06
2.569150000000000045e-01	2.426090909090931341e-05
2.579050000000000509e-01	7.920070707070780115e-06
2.588949999999999863e-01	8.493373737373815746e-06
2.598850000000000326e-01	2.359444444444466145e-05
2.608749999999999680e-01	1.935929292929310851e-05
2.618650000000000144e-01	4.218828282828321704e-05
2.628549999999999498e-01	3.085282828282857052e-05
2.638449999999999962e-01	1.087979797979807950e-05
2.648350000000000426e-01	8.045131313131387345e-06
2.658249999999999780e-01	1.498535353535367462e-05
2.668150000000000244e-01	1.139929292929303395e-05
2.678049999999999597e-01	3.395080808080838870e-05
2.687950000000000061e-01	3.558323232323265340e-06
2.697849999999999970e-01	4.638181818181860326e-06
2.707749999999999879e-01	4.006363636363673699e-06
2.717650000000000343e-01	1.540727272727286713e-05
2.727549999999999697e-01	1.165595959595970267e-05
2.737450000000000161e-01	1.235535353535364897e-05
2.747349999999999515e-01	3.810262626262661870e-06
2.757249999999999979e-01	6.648191919191980178e-06
2.767150000000000443e-01	4.962515151515197556e-06
2.777049999999999796e-01	2.011797979797998388e-05
2.786950000000000260e-01	9.627737373737462563e-06
2.796849999999999614e-01	1.284292929292941056e-05
2.806750000000000078e-01	2.757575757575782879e-05
2.816649999999999987e-01	2.637585858585882976e-05
2.826549999999999896e-01	4.495343434343475865e-06
2.836450000000000360e-01	2.835393939393965492e-05
2.846349999999999714e-01	1.083666666666676564e-05
2.856250000000000178e-01	2.851878787878814032e-06
2.866149999999999531e-01	1.183353535353546214e-05
2.876049999999999995e-01	4.543727272727314204e-06
2.885950000000000459e-01	4.403414141414181748e-06
2.895849999999999813e-01	5.514070707070757750e-06
2.905750000000000277e-01	3.166414141414170553e-06
2.915649999999999631e-01	7.331595959596026767e-05
2.925550000000000095e-01	3.793333333333367883e-06
2.935450000000000004e-01	1.023696969696979064e-05
2.945349999999999913e-01	2.503525252525275578e-06
2.955250000000000377e-01	7.570898989899058819e-06
2.965149999999999730e-01	2.501606060606083698e-06
2.975050000000000194e-01	2.848969696969723482e-06
