# Energy	Flux
# keV	photon/(s*keV*arcmin**2)
2.315000000000000113e-01	6.095629820051414989e-04
2.325000000000000122e-01	6.076801701976775483e-04
2.335000000000000131e-01	6.057973583902137062e-04
2.344999999999999862e-01	6.039429128623349840e-04
2.354999999999999871e-01	6.021061962591968669e-04
2.364999999999999880e-01	6.002872085807996801e-04
2.374999999999999889e-01	5.984859498271429901e-04
2.384999999999999898e-01	5.967059657831752214e-04
2.394999999999999907e-01	5.949330733091038681e-04
2.404999999999999916e-01	5.931814555447212194e-04
2.414999999999999925e-01	5.914475667050793925e-04
2.424999999999999933e-01	5.897278610052300715e-04
2.434999999999999942e-01	5.880258842301215724e-04
2.444999999999999951e-01	5.863416363797536784e-04
2.454999999999999960e-01	5.846786632390745973e-04
2.464999999999999969e-01	5.830156900983955162e-04
2.474999999999999978e-01	5.813739916674053564e-04
2.484999999999999987e-01	5.797500221611560185e-04
2.494999999999999996e-01	5.781437815796472857e-04
2.505000000000000004e-01	5.765481783529829594e-04
2.515000000000000013e-01	5.749738498360074460e-04
2.525000000000000022e-01	5.734030671039801403e-04
2.535000000000000031e-01	5.718500132966936565e-04
2.545000000000000040e-01	5.703146884141477779e-04
2.555000000000000049e-01	5.687900008864463057e-04
2.565000000000000058e-01	5.672794964985373393e-04
2.575000000000000067e-01	5.657867210353693032e-04
2.585000000000000075e-01	5.643081287119936645e-04
2.595000000000000084e-01	5.628330821735662336e-04
2.605000000000000093e-01	5.613757645598794078e-04
2.615000000000000102e-01	5.599361758709335123e-04
2.625000000000000111e-01	5.585036787518838156e-04
2.635000000000000120e-01	5.570853647726266246e-04
2.645000000000000129e-01	5.556812339331619393e-04
2.655000000000000138e-01	5.542948320184380761e-04
2.665000000000000147e-01	5.529084301037142128e-04
2.675000000000000155e-01	5.515397571137310630e-04
2.685000000000000164e-01	5.501852672635405275e-04
2.695000000000000173e-01	5.488414147681943984e-04
2.705000000000000182e-01	5.475081996276925673e-04
2.715000000000000191e-01	5.461856218420353595e-04
2.725000000000000200e-01	5.448772271961705490e-04
2.735000000000000209e-01	5.435830156900984611e-04
2.745000000000000218e-01	5.422923499689743642e-04
2.755000000000000226e-01	5.410158673876429899e-04
2.765000000000000235e-01	5.397500221611559136e-04
2.775000000000000244e-01	5.384948142895133521e-04
2.785000000000000253e-01	5.372502437727153055e-04
2.795000000000000262e-01	5.360198563957096563e-04
2.805000000000000271e-01	5.347965605886003141e-04
2.814999999999999725e-01	5.335909937062317939e-04
2.824999999999999734e-01	5.323818810389150660e-04
2.834999999999999742e-01	5.311904972963390516e-04
2.844999999999999751e-01	5.300097509086074436e-04
2.854999999999999760e-01	5.288360960907721427e-04
2.864999999999999769e-01	5.276730786277812483e-04
2.874999999999999778e-01	5.265206985196348687e-04
2.884999999999999787e-01	5.253789557663327871e-04
2.894999999999999796e-01	5.242513961528234281e-04
2.904999999999999805e-01	5.231238365393139607e-04
2.914999999999999813e-01	5.220069142806488998e-04
2.924999999999999822e-01	5.209041751617765614e-04
2.934999999999999831e-01	5.198085276128003134e-04
