# Energy	Flux
# keV	photon/(cm**2*s*keV*arcmin**2)
 0.4185  2.9980e-4
 0.4195  2.9980e-4
 0.4205  2.9980e-4
 0.4215  2.9980e-4
 0.4225  2.9980e-4
 0.4235  2.9980e-4
 0.4245  2.9980e-4
 0.4255  2.9980e-4
 0.4265  2.9980e-4
 0.4275  2.9980e-4
 0.4285  2.9980e-4
 0.4295  2.9980e-4
 0.4305  2.9980e-4
 0.4315  2.9980e-4
 0.4325  2.9980e-4
 0.4335  2.9980e-4
 0.4345  2.9980e-4
 0.4355  2.9980e-4
 0.4365  2.9980e-4
 0.4375  2.9980e-4
 0.4385  2.9980e-4
 0.4395  2.9980e-4
 0.4405  2.9980e-4
 0.4415  2.9980e-4
 0.4425  2.9980e-4
 0.4435  2.9980e-4
 0.4445  2.9980e-4
 0.4455  2.9980e-4
 0.4465  2.9980e-4
 0.4475  2.9980e-4
 0.4485  2.9980e-4
 0.4495  2.9980e-4
 0.4505  2.9980e-4
 0.4515  2.9980e-4
 0.4525  2.9980e-4
 0.4535  2.9980e-4
 0.4545  2.9980e-4
 0.4555  2.9980e-4
 0.4565  2.9980e-4
 0.4575  2.9980e-4
 0.4585  2.9980e-4
 0.4595  2.9980e-4
 0.4605  2.9980e-4
 0.4615  2.9980e-4
 0.4625  2.9980e-4
 0.4635  2.9980e-4
 0.4645  2.9980e-4
 0.4655  2.9980e-4
 0.4665  2.9980e-4
 0.4675  2.9980e-4
 0.4685  2.9980e-4
 0.4695  2.9980e-4
 0.4705  2.9980e-4
 0.4715  2.9980e-4
 0.4725  2.9980e-4
 0.4735  2.9980e-4
 0.4745  2.9980e-4
 0.4755  2.9980e-4
 0.4765  2.9980e-4
 0.4775  2.9980e-4
 0.4785  2.9980e-4
 0.4795  2.9980e-4
 0.4805  2.9980e-4
 0.4815  2.9980e-4
 0.4825  2.9980e-4
 0.4835  2.9980e-4
 0.4845  2.9980e-4
 0.4855  2.9980e-4
 0.4865  2.9980e-4
 0.4875  2.9980e-4
 0.4885  2.9980e-4
