# Energy	Flux
# keV		photon/(cm**2*s*keV*arcmin**2)
2.545000016689300537e-01	1.501010453754691748e-04
2.555000185966491699e-01	1.500352896789452963e-04
2.565000057220458984e-01	1.499705020973190464e-04
2.574999928474426270e-01	1.499102802338697529e-04
2.584999799728393555e-01	1.498575539096096794e-04
2.594999969005584717e-01	1.498125238262311247e-04
2.605000138282775879e-01	1.497735345452800464e-04
2.615000009536743164e-01	1.497403598524237511e-04
2.624999880790710449e-01	1.497141187105500266e-04
2.635000050067901611e-01	1.496957331218700239e-04
2.644999921321868896e-01	1.496860537704899625e-04
2.655000090599060059e-01	1.496847601876093929e-04
2.664999961853027344e-01	1.496891567262909853e-04
2.674999833106994629e-01	1.496975093762117155e-04
2.685000002384185791e-01	1.497097389797541651e-04
2.695000171661376953e-01	1.497258979891853377e-04
2.705000042915344238e-01	1.497475013788782626e-04
2.714999914169311523e-01	1.497759957849642467e-04
2.725000083446502686e-01	1.498120007297551047e-04
2.734999954700469971e-01	1.498563502247374181e-04
2.745000123977661133e-01	1.499095188853228559e-04
2.754999995231628418e-01	1.499704579353264885e-04
2.764999866485595703e-01	1.500366467925679209e-04
2.775000035762786865e-01	1.501061129062087446e-04
2.785000205039978027e-01	1.501781813034321989e-04
2.795000076293945312e-01	1.502514175334803467e-04
2.804999947547912598e-01	1.503243512052870672e-04
2.814999818801879883e-01	1.503946931236130400e-04
2.824999988079071045e-01	1.504598445089762359e-04
2.835000157356262207e-01	1.505187428393354651e-04
2.845000028610229492e-01	1.505701087950933126e-04
2.854999899864196777e-01	1.506126591864891671e-04
2.865000069141387939e-01	1.506463713152579403e-04
2.874999940395355225e-01	1.506719576459796678e-04
2.885000109672546387e-01	1.506892599873548802e-04
2.894999980926513672e-01	1.506979879482369018e-04
2.904999852180480957e-01	1.506985996616327949e-04
2.915000021457672119e-01	1.506921543765746068e-04
2.925000190734863281e-01	1.506789815365911639e-04
2.935000061988830566e-01	1.506604804415661398e-04
2.944999933242797852e-01	1.506380993753734935e-04
2.954999804496765137e-01	1.506123665296687586e-04
2.964999973773956299e-01	1.505838804785596412e-04
2.975000143051147461e-01	1.505546324781603489e-04
2.985000014305114746e-01	1.505286935016672588e-04
2.994999885559082031e-01	1.505075239954652914e-04
3.005000054836273193e-01	1.504896704808215133e-04
3.014999926090240479e-01	1.504746435112911795e-04
3.025000095367431641e-01	1.504637139215039311e-04
3.034999966621398926e-01	1.504563882079069936e-04
3.044999837875366211e-01	1.504532900651080727e-04
3.055000007152557373e-01	1.504559402751926088e-04
3.065000176429748535e-01	1.504631931008723546e-04
3.075000047683715820e-01	1.504739353561846576e-04
3.084999918937683105e-01	1.504868761645669737e-04
3.094999790191650391e-01	1.505007074998485279e-04
3.104999959468841553e-01	1.505152287564967821e-04
3.115000128746032715e-01	1.505308417495579247e-04
3.125000000000000000e-01	1.505473002528048040e-04
3.134999871253967285e-01	1.505633984699018379e-04
3.145000040531158447e-01	1.505774631684876587e-04
3.155000209808349609e-01	1.505887643761355229e-04
3.165000081062316895e-01	1.505989112005418290e-04
3.174999952316284180e-01	1.506085847188085741e-04
3.184999823570251465e-01	1.506169665040614177e-04
3.194999992847442627e-01	1.506237140958937562e-04
3.205000162124633789e-01	1.506273192497775671e-04
3.215000033378601074e-01	1.506264809852929669e-04
3.224999904632568359e-01	1.506199859202693914e-04
3.235000073909759521e-01	1.506065171319010906e-04
3.244999945163726807e-01	1.505857613444110815e-04
3.255000114440917969e-01	1.505585365298080128e-04
3.264999985694885254e-01	1.505286539569063197e-04
3.274999856948852539e-01	1.504985474550953029e-04
3.285000026226043701e-01	1.504686392532317122e-04
3.295000195503234863e-01	1.504404173489814404e-04
3.305000066757202148e-01	1.504152905774281833e-04
3.314999938011169434e-01	1.503961609756353159e-04
3.324999809265136719e-01	1.503858885703781970e-04
3.334999978542327881e-01	1.503852136189010556e-04
3.345000147819519043e-01	1.503953207990325739e-04
3.355000019073486328e-01	1.504165413553452675e-04
3.364999890327453613e-01	1.504479623717127615e-04
3.375000059604644775e-01	1.504900696016187706e-04
3.384999930858612061e-01	1.505435132054321697e-04
3.395000100135803223e-01	1.506079760322104062e-04
3.404999971389770508e-01	1.506816178889697829e-04
3.414999842643737793e-01	1.507616127253559829e-04
3.425000011920928955e-01	1.508465938376894972e-04
3.435000181198120117e-01	1.509347303822227489e-04
3.445000052452087402e-01	1.510242293665930839e-04
3.454999923706054688e-01	1.511128031939942102e-04
3.464999794960021973e-01	1.511973728050876591e-04
3.474999964237213135e-01	1.512755706362438281e-04
3.485000133514404297e-01	1.513441483289268657e-04
3.495000004768371582e-01	1.514013234564700054e-04
3.504999876022338867e-01	1.514476487325925767e-04
3.515000045299530029e-01	1.514818678934015098e-04
3.524999916553497314e-01	1.515019868826537614e-04
3.535000085830688477e-01	1.515085996020035057e-04
3.544999957084655762e-01	1.515008482807676739e-04
3.554999828338623047e-01	1.514773657165027765e-04
3.564999997615814209e-01	1.514390829756645995e-04
3.575000166893005371e-01	1.513869717805758940e-04
3.585000038146972656e-01	1.513231331266767571e-04
3.594999909400939941e-01	1.512513949725097554e-04
3.605000078678131104e-01	1.511745007772405706e-04
3.614999949932098389e-01	1.510951351307856193e-04
3.625000119209289551e-01	1.510169503123434036e-04
3.634999990463256836e-01	1.509430367692465912e-04
3.644999861717224121e-01	1.508761897907310472e-04
3.655000030994415283e-01	1.508180944175186084e-04
3.665000200271606445e-01	1.507694215279289961e-04
3.675000071525573730e-01	1.507303955130042804e-04
3.684999942779541016e-01	1.507010360581489180e-04
3.694999814033508301e-01	1.506804919629663099e-04
3.704999983310699463e-01	1.506672648398436312e-04
3.715000152587890625e-01	1.506618086088346074e-04
3.725000023841857910e-01	1.506658915151302687e-04
3.734999895095825195e-01	1.506795192604082703e-04
3.745000064373016357e-01	1.507027222474050117e-04
3.754999935626983643e-01	1.507347665705242585e-04
3.765000104904174805e-01	1.507722030266024464e-04
3.774999976158142090e-01	1.508131970953744121e-04
3.784999847412109375e-01	1.508568744783536013e-04
3.795000016689300537e-01	1.509008992057243208e-04
3.805000185966491699e-01	1.509434905622320119e-04
3.815000057220458984e-01	1.509833986014648920e-04
3.824999928474426270e-01	1.510179087262305023e-04
3.834999799728393555e-01	1.510433926631030252e-04
3.844999969005584717e-01	1.510575560433596181e-04
3.855000138282775879e-01	1.510606661428739149e-04
3.865000009536743164e-01	1.510532521687952634e-04
3.874999880790710449e-01	1.510343621478061867e-04
3.885000050067901611e-01	1.510031900449300738e-04
3.894999921321868896e-01	1.509603501230606215e-04
3.905000090599060059e-01	1.509070261570852702e-04
3.914999961853027344e-01	1.508452681770167364e-04
3.924999833106994629e-01	1.507778024318106376e-04
3.935000002384185791e-01	1.507054650990376536e-04
3.945000171661376953e-01	1.506294320274222977e-04
3.955000042915344238e-01	1.505527772528515490e-04
3.964999914169311523e-01	1.504774281052859923e-04
3.975000083446502686e-01	1.504043450882608965e-04
3.984999954700469971e-01	1.503349961765814791e-04
3.995000123977661133e-01	1.502701946778172250e-04
