# Energy	Flux
# keV	photon/(cm**2*s*keV)
4.598650000000000237e-01	9.374999999999999653e-04
4.608550000000000146e-01	9.374999999999999653e-04
4.618450000000000055e-01	9.374999999999999653e-04
4.628349999999999964e-01	9.374999999999999653e-04
4.638249999999999873e-01	9.374999999999999653e-04
4.648149999999999782e-01	9.374999999999999653e-04
4.658050000000000246e-01	9.374999999999999653e-04
4.667950000000000155e-01	9.374999999999999653e-04
4.677850000000000064e-01	9.374999999999999653e-04
4.687749999999999972e-01	9.374999999999999653e-04
4.697649999999999881e-01	9.374999999999999653e-04
4.707550000000000345e-01	9.374999999999999653e-04
4.717450000000000254e-01	9.374999999999999653e-04
4.727350000000000163e-01	9.374999999999999653e-04
4.737250000000000072e-01	9.374999999999999653e-04
4.747149999999999981e-01	9.374999999999999653e-04
4.757049999999999890e-01	9.374999999999999653e-04
4.766949999999999799e-01	9.374999999999999653e-04
4.776850000000000263e-01	9.374999999999999653e-04
4.786750000000000171e-01	9.374999999999999653e-04
4.796650000000000080e-01	9.374999999999999653e-04
4.806549999999999989e-01	9.374999999999999653e-04
4.816449999999999898e-01	9.374999999999999653e-04
4.826349999999999807e-01	9.374999999999999653e-04
4.836249999999999716e-01	9.374999999999999653e-04
4.846150000000000180e-01	9.374999999999999653e-04
4.856050000000000089e-01	9.374999999999999653e-04
4.865949999999999998e-01	9.374999999999999653e-04
4.875849999999999906e-01	9.374999999999999653e-04
4.885749999999999815e-01	9.374999999999999653e-04
4.895650000000000279e-01	9.374999999999999653e-04
4.905550000000000188e-01	9.374999999999999653e-04
4.915450000000000097e-01	9.374999999999999653e-04
4.925350000000000006e-01	9.374999999999999653e-04
4.935249999999999915e-01	9.374999999999999653e-04
4.945149999999999824e-01	9.374999999999999653e-04
4.955049999999999732e-01	9.374999999999999653e-04
4.964950000000000196e-01	9.374999999999999653e-04
4.974850000000000105e-01	9.374999999999999653e-04
4.984750000000000014e-01	9.374999999999999653e-04
4.994649999999999923e-01	9.374999999999999653e-04
5.004549999999999832e-01	9.374999999999999653e-04
5.014450000000000296e-01	9.374999999999999653e-04
5.024349999999999650e-01	9.374999999999999653e-04
5.034250000000000114e-01	9.374999999999999653e-04
5.044150000000000578e-01	9.374999999999999653e-04
5.054049999999999931e-01	9.374999999999999653e-04
5.063949999999999285e-01	9.374999999999999653e-04
5.073849999999999749e-01	9.374999999999999653e-04
5.083750000000000213e-01	9.374999999999999653e-04
5.093650000000000677e-01	9.374999999999999653e-04
5.103550000000000031e-01	9.374999999999999653e-04
5.113449999999999385e-01	9.374999999999999653e-04
5.123349999999999849e-01	9.374999999999999653e-04
5.133250000000000313e-01	9.374999999999999653e-04
5.143150000000000777e-01	9.374999999999999653e-04
5.153050000000000130e-01	9.374999999999999653e-04
5.162949999999999484e-01	9.374999999999999653e-04
5.172849999999999948e-01	9.374999999999999653e-04
5.182750000000000412e-01	9.374999999999999653e-04
5.192649999999999766e-01	9.374999999999999653e-04
5.202550000000000230e-01	9.374999999999999653e-04
5.212449999999999584e-01	9.374999999999999653e-04
5.222350000000000048e-01	9.374999999999999653e-04
5.232250000000000512e-01	9.374999999999999653e-04
5.242149999999999865e-01	9.374999999999999653e-04
5.252050000000000329e-01	9.374999999999999653e-04
5.261949999999999683e-01	9.374999999999999653e-04
5.271850000000000147e-01	9.374999999999999653e-04
5.281750000000000611e-01	9.374999999999999653e-04
5.291649999999999965e-01	9.374999999999999653e-04
5.301549999999999319e-01	9.374999999999999653e-04
5.311449999999999783e-01	9.374999999999999653e-04
5.321350000000000247e-01	9.374999999999999653e-04
5.331250000000000711e-01	9.374999999999999653e-04
5.341150000000000064e-01	9.374999999999999653e-04
5.351049999999999418e-01	9.374999999999999653e-04
5.360949999999999882e-01	9.374999999999999653e-04
5.370850000000000346e-01	9.374999999999999653e-04
5.380750000000000810e-01	9.374999999999999653e-04
5.390650000000000164e-01	9.374999999999999653e-04
5.400549999999999518e-01	9.374999999999999653e-04
5.410449999999999982e-01	9.374999999999999653e-04
5.420350000000000446e-01	9.374999999999999653e-04
5.430249999999999799e-01	9.374999999999999653e-04
5.440150000000000263e-01	9.374999999999999653e-04
5.450049999999999617e-01	9.374999999999999653e-04
5.459950000000000081e-01	9.374999999999999653e-04
5.469850000000000545e-01	9.374999999999999653e-04
5.479749999999999899e-01	9.374999999999999653e-04
5.489649999999999253e-01	9.374999999999999653e-04
5.499549999999999716e-01	9.374999999999999653e-04
5.509450000000000180e-01	9.374999999999999653e-04
5.519350000000000644e-01	9.374999999999999653e-04
5.529249999999999998e-01	9.374999999999999653e-04
5.539149999999999352e-01	9.374999999999999653e-04
5.549049999999999816e-01	9.374999999999999653e-04
5.558950000000000280e-01	9.374999999999999653e-04
5.568850000000000744e-01	9.374999999999999653e-04
5.578750000000000098e-01	9.374999999999999653e-04
5.588649999999999451e-01	9.374999999999999653e-04
5.598549999999999915e-01	9.374999999999999653e-04
5.608450000000000379e-01	9.374999999999999653e-04
5.618349999999999733e-01	9.374999999999999653e-04
5.628250000000000197e-01	9.374999999999999653e-04
5.638149999999999551e-01	9.374999999999999653e-04
5.648050000000000015e-01	9.374999999999999653e-04
5.657950000000000479e-01	9.374999999999999653e-04
5.667849999999999833e-01	9.374999999999999653e-04
5.677750000000000297e-01	9.374999999999999653e-04
5.687649999999999650e-01	9.374999999999999653e-04
5.697550000000000114e-01	9.374999999999999653e-04
5.707450000000000578e-01	9.374999999999999653e-04
5.717349999999999932e-01	9.374999999999999653e-04
5.727249999999999286e-01	9.374999999999999653e-04
5.737149999999999750e-01	9.374999999999999653e-04
5.747050000000000214e-01	9.374999999999999653e-04
5.756950000000000678e-01	9.374999999999999653e-04
5.766850000000000032e-01	9.374999999999999653e-04
5.776749999999999385e-01	9.374999999999999653e-04
5.786649999999999849e-01	9.374999999999999653e-04
5.796550000000000313e-01	9.374999999999999653e-04
5.806450000000000777e-01	9.374999999999999653e-04
5.816350000000000131e-01	9.374999999999999653e-04
5.826249999999999485e-01	9.374999999999999653e-04
